,exp_id,chm,chd,smq,cmq,icp,ifn,ned,msn,cov,precision_pr,recall_pr,SRP@0,SRP@1,SRP@2,SRP@3,SRP@4,SRP@5,SRP@6,SRP@7,SRP@8,SRP@9,SRP@10,SRR@0,SRR@1,SRR@2,SRR@3,SRR@4,SRR@5,SRR@6,SRR@7,SRR@8,SRR@9,SRR@10,accuracy,precision,recall,f1_score,roc_auc,fbeta_score
0,topicDecomp-partitions-7.json,0.4279630512355679,0.07445527540007923,0.5069402830384231,0.42055148313557494,0.1239059537113053,1.1666666666666667,0.6666666666666667,6,1.0,0.9035087719298245,0.4511784511784511,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,1.0,0.8333333333333334,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.6936507936507936,0.34,0.5271317829457365,0.4133738601823709,0.6318293645267604,0.3472514268549114
1,topicDecomp-partitions-11.json,0.43067572373191704,0.07173548990255703,0.5144476688798019,0.3785395506309634,0.20128991999232854,1.5714285714285714,0.8571428571428572,7,1.0,0.9172932330827067,0.38672438672438675,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,1.0,1.0,0.8571428571428571,0.5714285714285714,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.6746031746031746,0.2978723404255319,0.43410852713178294,0.35331230283911674,0.5853177366197836,0.3034746573159069
2,topicDecomp-partitions-10.json,0.4279630512355679,0.07445527540007923,0.5069402830384231,0.42055148313557494,0.1239059537113053,1.1666666666666667,0.6666666666666667,6,1.0,0.9035087719298245,0.4511784511784511,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,1.0,0.8333333333333334,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.6936507936507936,0.34,0.5271317829457365,0.4133738601823709,0.6318293645267604,0.3472514268549114
3,topicDecomp-partitions-6.json,0.41684261231667424,0.06952047269838212,0.5243013941495343,0.4651160194764271,0.1239059537113053,1.0,0.6666666666666667,6,1.0,0.9035087719298245,0.4511784511784511,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.6968253968253968,0.3465346534653465,0.5426356589147286,0.4229607250755287,0.6395813025112566,0.35406129128235647
4,topicDecomp-partitions-17.json,0.4415701000539792,0.08540970220567923,0.22649739805980187,0.28677787609862865,0.022812367146538965,0.3333333333333333,0.0,3,1.0,0.8070175438596491,0.9023569023569024,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.7492063492063492,0.43829787234042555,0.7984496124031008,0.565934065934066,0.7674882792554426,0.4502442787348933
5,topicDecomp-partitions-1.json,0.5597793009510993,0.2677526973694998,0.45840704832256085,0.37053431825176975,0.07726212970992037,1.0,0.4,5,1.0,0.8842105263157893,0.5414141414141413,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.8,0.8,0.8,0.8,1.0,0.8,0.8,0.8,0.6,0.6,0.4,0.4,0.2,0.2,0.2,0.7126984126984127,0.37735849056603776,0.6201550387596899,0.46920821114369504,0.6783409924337371,0.38625390514058505
6,topicDecomp-partitions-21.json,0.4415701000539792,0.08540970220567923,0.22649739805980187,0.28677787609862865,0.022812367146538965,0.3333333333333333,0.0,3,1.0,0.8070175438596491,0.9023569023569024,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.7492063492063492,0.43829787234042555,0.7984496124031008,0.565934065934066,0.7674882792554426,0.4502442787348933
7,topicDecomp-partitions-20.json,0.4415701000539792,0.08540970220567923,0.22649739805980187,0.28677787609862865,0.022812367146538965,0.3333333333333333,0.0,3,1.0,0.8070175438596491,0.9023569023569024,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.7492063492063492,0.43829787234042555,0.7984496124031008,0.565934065934066,0.7674882792554426,0.4502442787348933
8,topicDecomp-partitions-0.json,0.44972412618887403,0.0846908717118747,0.33782565575732704,0.3174320303683186,0.04046242368714627,0.75,0.25,4,1.0,0.8552631578947368,0.6767676767676768,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.75,0.75,0.75,1.0,1.0,1.0,1.0,0.75,0.75,0.5,0.5,0.5,0.25,0.25,0.7253968253968254,0.4,0.6821705426356589,0.504297994269341,0.7093487443717216,0.4099753357084133
9,topicDecomp-partitions-16.json,0.4415701000539792,0.08540970220567923,0.22649739805980187,0.28677787609862865,0.022812367146538965,0.3333333333333333,0.0,3,1.0,0.8070175438596491,0.9023569023569024,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.7492063492063492,0.43829787234042555,0.7984496124031008,0.565934065934066,0.7674882792554426,0.4502442787348933
10,topicDecomp-partitions-15.json,0.4415701000539792,0.08540970220567923,0.22649739805980187,0.28677787609862865,0.022812367146538965,0.3333333333333333,0.0,3,1.0,0.8070175438596491,0.9023569023569024,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.7492063492063492,0.43829787234042555,0.7984496124031008,0.565934065934066,0.7674882792554426,0.4502442787348933
11,topicDecomp-partitions-23.json,0.4415701000539792,0.08540970220567923,0.22649739805980187,0.28677787609862865,0.022812367146538965,0.3333333333333333,0.0,3,1.0,0.8070175438596491,0.9023569023569024,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.7492063492063492,0.43829787234042555,0.7984496124031008,0.565934065934066,0.7674882792554426,0.4502442787348933
12,topicDecomp-partitions-19.json,0.4415701000539792,0.08540970220567923,0.22649739805980187,0.28677787609862865,0.022812367146538965,0.3333333333333333,0.0,3,1.0,0.8070175438596491,0.9023569023569024,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.7492063492063492,0.43829787234042555,0.7984496124031008,0.565934065934066,0.7674882792554426,0.4502442787348933
13,topicDecomp-partitions-3.json,0.3597107136115012,0.11748118160291765,0.550564596799015,0.46750666871858004,0.11406183573269484,1.1666666666666667,0.6666666666666667,6,1.0,0.9035087719298245,0.4511784511784511,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.7063492063492064,0.36538461538461536,0.5891472868217055,0.4510385756676558,0.6628371164647449,0.3737344518368527
14,topicDecomp-partitions-2.json,0.42989788713503,0.07477754732954177,0.5069402830384232,0.3612365290837789,0.1312313890400491,1.1666666666666667,0.6666666666666667,6,1.0,0.9035087719298245,0.4511784511784511,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,1.0,0.8333333333333334,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.6936507936507936,0.34,0.5271317829457365,0.4133738601823709,0.6318293645267604,0.3472514268549114
15,topicDecomp-partitions-18.json,0.4415701000539792,0.08540970220567923,0.22649739805980187,0.28677787609862865,0.022812367146538965,0.3333333333333333,0.0,3,1.0,0.8070175438596491,0.9023569023569024,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.7492063492063492,0.43829787234042555,0.7984496124031008,0.565934065934066,0.7674882792554426,0.4502442787348933
16,topicDecomp-partitions-22.json,0.4415701000539792,0.08540970220567923,0.22649739805980187,0.28677787609862865,0.022812367146538965,0.3333333333333333,0.0,3,1.0,0.8070175438596491,0.9023569023569024,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.7492063492063492,0.43829787234042555,0.7984496124031008,0.565934065934066,0.7674882792554426,0.4502442787348933
17,topicDecomp-partitions-14.json,0.4279630512355679,0.07445527540007923,0.5069402830384231,0.42055148313557494,0.1239059537113053,1.1666666666666667,0.6666666666666667,6,1.0,0.9035087719298245,0.4511784511784511,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,1.0,0.8333333333333334,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.6936507936507936,0.34,0.5271317829457365,0.4133738601823709,0.6318293645267604,0.3472514268549114
18,topicDecomp-partitions-5.json,0.42987731936949364,0.07392751775432224,0.4635665674908519,0.41574971786190623,0.0684371014396169,0.8,0.6,5,1.0,0.8842105263157893,0.5414141414141415,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.8,0.8,0.8,0.8,1.0,1.0,0.8,0.8,0.6,0.4,0.4,0.4,0.4,0.2,0.2,0.719047619047619,0.3888888888888889,0.6511627906976745,0.4869565217391305,0.6938448684027294,0.39832635983263603
19,topicDecomp-partitions-13.json,0.4279630512355679,0.07445527540007923,0.5069402830384231,0.42055148313557494,0.1239059537113053,1.1666666666666667,0.6666666666666667,6,1.0,0.9035087719298245,0.4511784511784511,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,1.0,0.8333333333333334,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.6936507936507936,0.34,0.5271317829457365,0.4133738601823709,0.6318293645267604,0.3472514268549114
20,topicDecomp-partitions-9.json,0.43158608593084374,0.07480962108652621,0.5087921348902751,0.3468324633639237,0.1239059537113053,1.1666666666666667,0.6666666666666667,6,1.0,0.9035087719298245,0.4511784511784511,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,1.0,0.8333333333333334,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.6936507936507936,0.34,0.5271317829457365,0.4133738601823709,0.6318293645267604,0.3472514268549114
21,topicDecomp-partitions-8.json,0.44322184607216597,0.0798492809963588,0.4441221230464074,0.3688929927157073,0.0684371014396169,1.0,0.6,5,1.0,0.8842105263157893,0.5414141414141415,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.8,0.8,0.8,0.8,1.0,1.0,1.0,0.8,0.4,0.4,0.4,0.4,0.4,0.2,0.2,0.7158730158730159,0.38317757009345793,0.6356589147286822,0.478134110787172,0.6860929304182333,0.39234449760765544
22,topicDecomp-partitions-12.json,0.4279630512355679,0.07445527540007923,0.5069402830384231,0.42055148313557494,0.1239059537113053,1.1666666666666667,0.6666666666666667,6,1.0,0.9035087719298245,0.4511784511784511,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,1.0,0.8333333333333334,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.6936507936507936,0.34,0.5271317829457365,0.4133738601823709,0.6318293645267604,0.3472514268549114
23,topicDecomp-partitions-4.json,0.5534345201679148,0.2665062455332256,0.4612959372114496,0.3641834410587873,0.09641177919208752,1.2,0.4,5,1.0,0.8842105263157893,0.5414141414141413,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.8,0.8,0.8,0.8,1.0,0.8,0.8,0.8,0.6,0.6,0.4,0.4,0.2,0.2,0.2,0.7126984126984127,0.37735849056603776,0.6201550387596899,0.46920821114369504,0.6783409924337371,0.38625390514058505
