,integration.infrastructure.ConfigurationHelpers,integration.infrastructure.ConfigurationManager,integration.models.mrp.CatalogItem,integration.models.mrp.DeliveryAddress,integration.models.mrp.Order,integration.models.mrp.PhoneInfo,integration.models.mrp.Quote,integration.models.mrp.QuoteItemInfo,integration.models.mrp.ShipmentEventInfo,integration.models.mrp.ShipmentRecord,integration.models.website.OrderItem,integration.models.website.OrderMessage,integration.models.website.ProductItem,integration.models.website.ProductMessage,integration.models.QueueResponse,integration.scheduled.CreateOrderProcessTask,integration.scheduled.UpdateProductProcessTask,integration.services.MrpConnectService,integration.services.QueueFactory,integration.services.QueueService,integration.Constants,integration.Main,smpl.ordering.controllers.CatalogController,smpl.ordering.controllers.CatalogControllerTest,smpl.ordering.controllers.DealerController,smpl.ordering.controllers.DealerControllerTest,smpl.ordering.controllers.OrderController,smpl.ordering.controllers.OrderControllerTest,smpl.ordering.controllers.PingController,smpl.ordering.controllers.QuoteController,smpl.ordering.controllers.QuoteControllerTest,smpl.ordering.controllers.ShipmentController,smpl.ordering.controllers.ShipmentControllerTest,smpl.ordering.models.CatalogItem,smpl.ordering.models.DealerInfo,smpl.ordering.models.Delivery,smpl.ordering.models.DeliveryAddress,smpl.ordering.models.Order,smpl.ordering.models.OrderEventInfo,smpl.ordering.models.OrderStatus,smpl.ordering.models.OrderUpdateInfo,smpl.ordering.models.PhoneInfo,smpl.ordering.models.Quote,smpl.ordering.models.QuoteItemInfo,smpl.ordering.models.ShipmentEventInfo,smpl.ordering.models.ShipmentRecord,smpl.ordering.repositories.mock.test.MockCatalogItemsRepositoryTest,smpl.ordering.repositories.mock.test.MockDealersRepositoryTest,smpl.ordering.repositories.mock.test.MockOrderRepositoryTest,smpl.ordering.repositories.mock.test.MockQuoteRepositoryTest,smpl.ordering.repositories.mock.test.MockShipmentRepositoryTest,smpl.ordering.repositories.mock.MockCatalogItemsRepository,smpl.ordering.repositories.mock.MockDealersRepository,smpl.ordering.repositories.mock.MockOrderRepository,smpl.ordering.repositories.mock.MockQuoteRepository,smpl.ordering.repositories.mock.MockShipmentRepository,smpl.ordering.repositories.mongodb.models.CatalogItem,smpl.ordering.repositories.mongodb.models.Dealer,smpl.ordering.repositories.mongodb.models.OrderDetails,smpl.ordering.repositories.mongodb.models.QuoteDetails,smpl.ordering.repositories.mongodb.models.ShipmentDetails,smpl.ordering.repositories.mongodb.test.IntegrationTests,smpl.ordering.repositories.mongodb.test.MongoCatalogItemsRepositoryTest,smpl.ordering.repositories.mongodb.test.MongoDealersRepositoryTest,smpl.ordering.repositories.mongodb.test.MongoOrderRepositoryTest,smpl.ordering.repositories.mongodb.test.MongoQuoteRepositoryTest,smpl.ordering.repositories.mongodb.test.MongoShipmentRepositoryTest,smpl.ordering.repositories.mongodb.MongoCatalogItemsRepository,smpl.ordering.repositories.mongodb.MongoDealersRepository,smpl.ordering.repositories.mongodb.MongoOperationsWithRetry,smpl.ordering.repositories.mongodb.MongoOrderRepository,smpl.ordering.repositories.mongodb.MongoQuoteRepository,smpl.ordering.repositories.mongodb.MongoShipmentRepository,smpl.ordering.repositories.CatalogItemsRepository,smpl.ordering.repositories.CatalogItemsRepositoryTest,smpl.ordering.repositories.DealersRepository,smpl.ordering.repositories.DealersRepositoryTest,smpl.ordering.repositories.OrderRepository,smpl.ordering.repositories.OrderRepositoryTest,smpl.ordering.repositories.QuoteRepository,smpl.ordering.repositories.QuoteRepositoryTest,smpl.ordering.repositories.RepositoryFactory$Repositories,smpl.ordering.repositories.RepositoryFactory,smpl.ordering.repositories.ShipmentRepository,smpl.ordering.repositories.ShipmentRepositoryTest,smpl.ordering.AppInsightsFilter,smpl.ordering.BadRequestException,smpl.ordering.ConfigurationRule,smpl.ordering.ConflictingRequestException,smpl.ordering.MongoDBProperties,smpl.ordering.OrderingConfiguration,smpl.ordering.OrderingInitializer,smpl.ordering.OrderingServiceProperties,smpl.ordering.PostgresqlProperties,smpl.ordering.PropertyHelper,smpl.ordering.SimpleCORSFilter,smpl.ordering.TestOrderingConfiguration,smpl.ordering.TestPath,smpl.ordering.Utility,smpl.ordering.UtilityTest
0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,7.0,3.0,3.0,7.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,9.0,3.0,3.0,2.0,3.0,3.0,3.0,9.0,3.0,3.0,3.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,8.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,12.0,3.0,3.0,6.0,0.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,10.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,8.0,11.0,11.0,2.0,3.0,12.0,3.0,3.0,3.0,3.0,10.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0
1,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,0.0,0.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,1.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,5.0,3.0,5.0,3.0,3.0,3.0
2,9.0,7.0,7.0,7.0,7.0,7.0,4.0,9.0,7.0,9.0,7.0,4.0,7.0,7.0,6.0,6.0,9.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,7.0,0.0,9.0,0.0,8.0,2.0,0.0,9.0,0.0,7.0,7.0,9.0,7.0,9.0,7.0,7.0,9.0,7.0,2.0,7.0,7.0,9.0,1.0,2.0,2.0,5.0,9.0,7.0,2.0,9.0,2.0,9.0,7.0,9.0,3.0,2.0,9.0,7.0,7.0,2.0,9.0,5.0,9.0,7.0,7.0,7.0,3.0,2.0,9.0,7.0,1.0,10.0,10.0,9.0,2.0,2.0,2.0,2.0,7.0,9.0,9.0,7.0,7.0,7.0,7.0,9.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0
3,2.0,2.0,7.0,6.0,3.0,8.0,6.0,6.0,2.0,8.0,8.0,8.0,7.0,2.0,8.0,8.0,2.0,2.0,3.0,2.0,4.0,2.0,8.0,1.0,6.0,1.0,4.0,1.0,8.0,2.0,1.0,2.0,1.0,6.0,8.0,3.0,4.0,4.0,8.0,8.0,8.0,2.0,2.0,6.0,3.0,4.0,2.0,3.0,3.0,6.0,3.0,6.0,6.0,4.0,8.0,3.0,6.0,6.0,5.0,6.0,8.0,1.0,3.0,3.0,4.0,8.0,3.0,8.0,2.0,8.0,5.0,8.0,8.0,3.0,8.0,2.0,2.0,4.0,4.0,6.0,3.0,8.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,8.0,2.0,2.0,2.0,8.0,6.0,8.0,6.0,1.0,8.0,3.0
4,5.0,1.0,3.0,5.0,0.0,5.0,3.0,3.0,5.0,5.0,3.0,3.0,1.0,5.0,5.0,5.0,3.0,0.0,5.0,5.0,5.0,1.0,3.0,5.0,5.0,5.0,0.0,5.0,0.0,0.0,5.0,5.0,5.0,3.0,5.0,0.0,5.0,0.0,0.0,5.0,5.0,5.0,1.0,3.0,0.0,5.0,4.0,1.0,1.0,0.0,3.0,3.0,1.0,0.0,5.0,0.0,3.0,0.0,0.0,3.0,5.0,5.0,3.0,3.0,1.0,1.0,5.0,3.0,5.0,5.0,0.0,0.0,0.0,5.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0,5.0,5.0,3.0,3.0,2.0,5.0,2.0,0.0,5.0,5.0,5.0,5.0,0.0,5.0,0.0,5.0,5.0,1.0
5,6.0,6.0,0.0,7.0,6.0,8.0,6.0,6.0,8.0,8.0,6.0,8.0,0.0,8.0,5.0,5.0,8.0,8.0,6.0,6.0,8.0,8.0,6.0,8.0,8.0,8.0,6.0,6.0,8.0,8.0,6.0,8.0,8.0,8.0,8.0,8.0,7.0,6.0,4.0,8.0,6.0,8.0,8.0,6.0,4.0,8.0,3.0,1.0,8.0,8.0,8.0,6.0,8.0,6.0,8.0,8.0,8.0,8.0,6.0,8.0,2.0,8.0,8.0,1.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,2.0,8.0,3.0,8.0,1.0,6.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,6.0,8.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,8.0,8.0
6,12.0,12.0,2.0,8.0,3.0,11.0,8.0,12.0,10.0,7.0,2.0,0.0,12.0,0.0,10.0,12.0,5.0,3.0,12.0,0.0,0.0,2.0,5.0,12.0,7.0,12.0,2.0,12.0,4.0,1.0,12.0,5.0,2.0,5.0,11.0,3.0,8.0,0.0,10.0,0.0,3.0,2.0,1.0,0.0,1.0,11.0,10.0,6.0,2.0,8.0,3.0,5.0,5.0,3.0,1.0,2.0,0.0,7.0,10.0,1.0,7.0,10.0,9.0,6.0,8.0,8.0,2.0,7.0,7.0,10.0,2.0,7.0,0.0,0.0,9.0,0.0,5.0,0.0,2.0,1.0,0.0,0.0,5.0,0.0,7.0,10.0,7.0,2.0,10.0,12.0,10.0,5.0,2.0,2.0,4.0,7.0,0.0,10.0,10.0,0.0
7,3.0,1.0,6.0,7.0,1.0,7.0,9.0,6.0,3.0,0.0,6.0,0.0,0.0,0.0,9.0,1.0,4.0,4.0,0.0,3.0,10.0,0.0,3.0,1.0,9.0,9.0,6.0,1.0,3.0,9.0,9.0,0.0,9.0,10.0,4.0,1.0,1.0,4.0,10.0,4.0,10.0,4.0,7.0,7.0,1.0,10.0,3.0,7.0,8.0,0.0,3.0,1.0,10.0,0.0,6.0,4.0,0.0,4.0,2.0,2.0,9.0,0.0,0.0,7.0,8.0,1.0,10.0,2.0,6.0,0.0,3.0,3.0,10.0,7.0,1.0,4.0,10.0,0.0,3.0,7.0,10.0,7.0,9.0,2.0,2.0,6.0,5.0,6.0,5.0,1.0,1.0,1.0,7.0,4.0,10.0,4.0,4.0,9.0,1.0,6.0
8,3.0,0.0,3.0,0.0,2.0,3.0,0.0,1.0,2.0,3.0,1.0,0.0,2.0,3.0,4.0,4.0,3.0,0.0,2.0,4.0,2.0,0.0,2.0,4.0,3.0,0.0,0.0,4.0,0.0,2.0,4.0,2.0,4.0,3.0,0.0,2.0,0.0,2.0,0.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,0.0,0.0,2.0,3.0,2.0,5.0,2.0,2.0,3.0,0.0,0.0,2.0,0.0,2.0,3.0,2.0,2.0,0.0,3.0,3.0,0.0,2.0,0.0,2.0,3.0,2.0,0.0,3.0,2.0,2.0,5.0,0.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0
9,3.0,3.0,7.0,8.0,0.0,6.0,4.0,8.0,3.0,8.0,7.0,4.0,7.0,7.0,1.0,1.0,7.0,4.0,3.0,3.0,3.0,3.0,7.0,4.0,4.0,3.0,0.0,7.0,7.0,2.0,4.0,0.0,7.0,7.0,3.0,0.0,4.0,8.0,3.0,8.0,8.0,6.0,4.0,8.0,3.0,4.0,7.0,7.0,5.0,8.0,7.0,4.0,8.0,7.0,2.0,7.0,7.0,0.0,0.0,8.0,0.0,7.0,4.0,4.0,7.0,8.0,4.0,4.0,8.0,8.0,8.0,8.0,0.0,4.0,4.0,8.0,8.0,0.0,5.0,7.0,8.0,4.0,4.0,0.0,0.0,7.0,3.0,8.0,3.0,9.0,9.0,3.0,3.0,4.0,3.0,3.0,7.0,7.0,4.0,7.0
10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,0.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,5.0,0.0,2.0,2.0,5.0,0.0,4.0,4.0,0.0,5.0,0.0,1.0,4.0,1.0,0.0,4.0,4.0,2.0,4.0,0.0,4.0,1.0,1.0,5.0,1.0,5.0,2.0,0.0,5.0,0.0,1.0,5.0,1.0,5.0,1.0,4.0,0.0,0.0,0.0,1.0,5.0,0.0,4.0,5.0,2.0,0.0,4.0,1.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,5.0,4.0,5.0,3.0,3.0,0.0,1.0,0.0,1.0,1.0,5.0,5.0,0.0,2.0,4.0,2.0,1.0,0.0,4.0,4.0,1.0,2.0,0.0,0.0,4.0,0.0,4.0,5.0,2.0,4.0
12,4.0,4.0,8.0,5.0,0.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,8.0,4.0,5.0,4.0,4.0,0.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,6.0,5.0,3.0,5.0,5.0,4.0,4.0,5.0,4.0,7.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,1.0,2.0,5.0,5.0,5.0,5.0,7.0,5.0,5.0,4.0,1.0,5.0,4.0,4.0,5.0,5.0,1.0,2.0,4.0,4.0,5.0,1.0,4.0,1.0,1.0,4.0,5.0,5.0,1.0,1.0,4.0,2.0,1.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,6.0,4.0,4.0,4.0,5.0,5.0
13,1.0,6.0,4.0,7.0,2.0,5.0,1.0,3.0,4.0,4.0,4.0,1.0,4.0,5.0,8.0,8.0,5.0,4.0,3.0,3.0,9.0,9.0,9.0,9.0,4.0,3.0,4.0,9.0,4.0,9.0,6.0,9.0,9.0,9.0,0.0,9.0,7.0,3.0,4.0,1.0,3.0,1.0,4.0,1.0,4.0,0.0,5.0,4.0,6.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,4.0,3.0,6.0,4.0,3.0,6.0,5.0,4.0,4.0,6.0,1.0,4.0,1.0,4.0,6.0,4.0,3.0,5.0,5.0,3.0,3.0,2.0,1.0,1.0,1.0,4.0,3.0,4.0,9.0,1.0,4.0,1.0,3.0,3.0,3.0,6.0,3.0,3.0,6.0,9.0,6.0,1.0,1.0,1.0
14,6.0,7.0,2.0,6.0,0.0,1.0,4.0,4.0,4.0,7.0,7.0,7.0,2.0,2.0,6.0,1.0,8.0,7.0,1.0,4.0,0.0,4.0,0.0,0.0,7.0,3.0,6.0,7.0,2.0,6.0,0.0,8.0,7.0,2.0,0.0,8.0,7.0,6.0,7.0,3.0,5.0,4.0,4.0,7.0,2.0,8.0,8.0,9.0,1.0,4.0,6.0,0.0,8.0,2.0,3.0,0.0,1.0,5.0,1.0,7.0,7.0,1.0,4.0,8.0,3.0,1.0,0.0,5.0,9.0,2.0,3.0,1.0,2.0,6.0,0.0,7.0,9.0,3.0,5.0,6.0,6.0,8.0,5.0,7.0,6.0,8.0,7.0,7.0,2.0,3.0,4.0,1.0,0.0,1.0,6.0,3.0,4.0,8.0,8.0,0.0
15,8.0,4.0,8.0,7.0,2.0,0.0,4.0,2.0,0.0,1.0,7.0,4.0,3.0,8.0,7.0,8.0,2.0,7.0,8.0,4.0,3.0,7.0,8.0,0.0,3.0,3.0,0.0,7.0,7.0,8.0,6.0,0.0,7.0,4.0,4.0,2.0,3.0,8.0,3.0,7.0,2.0,0.0,8.0,1.0,2.0,2.0,4.0,3.0,2.0,2.0,6.0,2.0,3.0,2.0,6.0,2.0,7.0,0.0,2.0,7.0,1.0,2.0,2.0,7.0,1.0,2.0,5.0,0.0,0.0,1.0,4.0,1.0,0.0,4.0,0.0,6.0,8.0,0.0,3.0,2.0,2.0,8.0,6.0,0.0,4.0,7.0,5.0,6.0,5.0,1.0,0.0,1.0,1.0,8.0,7.0,3.0,3.0,1.0,7.0,4.0
16,7.0,3.0,2.0,7.0,5.0,5.0,5.0,5.0,2.0,2.0,3.0,7.0,6.0,6.0,5.0,2.0,2.0,6.0,2.0,0.0,3.0,5.0,7.0,6.0,6.0,0.0,0.0,0.0,2.0,5.0,6.0,5.0,0.0,6.0,3.0,3.0,7.0,4.0,7.0,6.0,0.0,2.0,6.0,7.0,7.0,5.0,7.0,0.0,5.0,0.0,7.0,3.0,6.0,4.0,4.0,3.0,2.0,6.0,2.0,7.0,2.0,6.0,6.0,4.0,5.0,5.0,3.0,3.0,3.0,7.0,5.0,0.0,2.0,6.0,7.0,7.0,0.0,6.0,4.0,0.0,3.0,7.0,5.0,3.0,5.0,5.0,1.0,5.0,1.0,0.0,2.0,7.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,5.0
17,6.0,6.0,8.0,3.0,8.0,8.0,7.0,7.0,0.0,2.0,8.0,8.0,8.0,6.0,0.0,0.0,6.0,8.0,0.0,0.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,1.0,7.0,7.0,2.0,1.0,3.0,0.0,6.0,6.0,8.0,8.0,7.0,6.0,6.0,8.0,8.0,8.0,6.0,8.0,7.0,6.0,8.0,7.0,7.0,0.0,7.0,7.0,8.0,4.0,2.0,8.0,5.0,6.0,6.0,6.0,8.0,6.0,6.0,8.0,0.0,4.0,6.0,0.0,5.0,7.0,8.0,0.0,0.0,7.0,6.0,7.0,8.0,8.0,8.0,8.0,0.0,6.0,7.0,6.0,6.0,7.0,6.0,7.0,7.0,7.0,6.0,6.0,7.0,8.0
18,6.0,6.0,1.0,6.0,5.0,6.0,6.0,1.0,6.0,6.0,1.0,1.0,1.0,6.0,2.0,2.0,1.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,1.0,5.0,5.0,5.0,1.0,1.0,6.0,5.0,1.0,1.0,6.0,5.0,1.0,1.0,5.0,1.0,6.0,1.0,6.0,3.0,4.0,6.0,1.0,1.0,1.0,5.0,5.0,1.0,6.0,6.0,6.0,7.0,1.0,6.0,0.0,3.0,4.0,5.0,6.0,1.0,6.0,6.0,5.0,7.0,1.0,6.0,0.0,6.0,5.0,5.0,6.0,5.0,6.0,1.0,5.0,1.0,1.0,6.0,1.0,1.0,6.0,6.0,1.0,1.0,5.0,6.0,1.0,1.0,6.0,6.0,1.0,1.0
